12:18:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 48] Logger initialized
12:18:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 4.000 m/s
12:18:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 4.000 m/s
12:18:30: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Decision: CHANGE_ALTITUDE by 1
12:18:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 3.000 m/s
12:18:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 3.000 m/s
12:18:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Decision: CHANGE_ALTITUDE by -1
12:18:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 2.000 m/s
12:18:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 2.000 m/s
12:18:31: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 124] Decision: HOLDING_YAW (within tolerance)
12:18:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 1.500 m/s
12:18:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 1.500 m/s
12:18:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 124] Decision: HOLDING_YAW (within tolerance)
12:18:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 1.200 m/s
12:18:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 1.200 m/s
12:18:32: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 124] Decision: HOLDING_YAW (within tolerance)
12:18:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 1.000 m/s
12:18:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 1.000 m/s
12:18:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 124] Decision: HOLDING_YAW (within tolerance)
12:18:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 0.857 m/s
12:18:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 0.857 m/s
12:18:33: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 124] Decision: HOLDING_YAW (within tolerance)
12:18:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 3.250 m/s
12:18:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 3.250 m/s
12:18:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 63.434948822922024 degrees
12:18:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 5.111 m/s
12:18:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 5.111 m/s
12:18:34: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 90.0 degrees
12:18:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 6.600 m/s
12:18:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 6.600 m/s
12:18:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 116.56505117707798 degrees
12:18:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 7.818 m/s
12:18:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 7.818 m/s
12:18:35: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 45.0 degrees
12:18:36: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 8.833 m/s
12:18:36: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 8.833 m/s
12:18:36: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 63.434948822922024 degrees
12:18:36: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 9.692 m/s
12:18:36: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 9.692 m/s
12:18:36: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 90.0 degrees
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 10.429 m/s
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 10.429 m/s
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 26.565051177077976 degrees
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 11.067 m/s
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 11.067 m/s
12:18:37: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 45.0 degrees
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 11.625 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 11.625 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 90.0 degrees
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 12.118 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 12.118 m/s
12:18:38: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 45.0 degrees
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 12.556 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 12.556 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 90.0 degrees
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 83] Average velocity so far: 12.947 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 78] Average velocity (from worker): 12.947 m/s
12:18:39: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Decision: CHANGING_YAW by 135.0 degrees
