15:28:05: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 45] Logger initialized
15:28:05: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=4.00 m/s
15:28:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=1.00 m/s
15:28:06: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.67 m/s
15:28:07: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.50 m/s
15:28:08: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.40 m/s
15:28:08: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.33 m/s
15:28:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.29 m/s
15:28:09: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=2.50, z=0.25 m/s
15:28:10: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=4.44, z=0.22 m/s
15:28:10: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=6.00, z=0.20 m/s
15:28:11: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=1.82, y=5.45, z=0.18 m/s
15:28:11: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=3.33, y=5.00, z=0.17 m/s
15:28:12: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=4.62, y=4.62, z=0.15 m/s
15:28:12: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=4.29, y=2.86, z=0.14 m/s
15:28:13: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=4.00, y=1.33, z=0.13 m/s
15:28:13: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=3.75, y=0.00, z=0.12 m/s
15:28:14: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=2.35, y=0.00, z=0.12 m/s
15:28:14: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=1.11, y=0.00, z=0.11 m/s
15:28:15: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.11 m/s
15:28:15: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=1.00, z=0.10 m/s
15:28:16: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=1.90, z=0.10 m/s
15:28:16: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=2.73, z=0.09 m/s
15:28:17: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.87, y=2.61, z=0.09 m/s
15:28:17: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=1.67, y=2.50, z=0.08 m/s
15:28:18: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=2.40, y=2.40, z=0.08 m/s
15:28:18: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=2.31, y=1.54, z=0.08 m/s
15:28:19: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=2.22, y=0.74, z=0.07 m/s
15:28:19: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=2.14, y=0.00, z=0.07 m/s
15:28:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=1.38, y=0.00, z=0.07 m/s
15:28:20: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.67, y=0.00, z=0.07 m/s
15:28:21: [INFO] [/Users/Quaden/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 70] Average velocity vector: x=0.00, y=0.00, z=0.06 m/s
